# Shared library to Debian package mappings for validate-media-runtime.sh.
# Format: SONAME<TAB>package_name
# Lines starting with # are comments. Blank lines are ignored.

libxml2.so.2	libxml2
libwayland-egl.so.1	libwayland-egl1
libwayland-server.so.0	libwayland-server0
libwayland-cursor.so.0	libwayland-cursor0
libxkbcommon.so.0	libxkbcommon0
libxkbcommon-x11.so.0	libxkbcommon-x11-0
libX11.so.6	libx11-6
libXext.so.6	libxext6
libXfixes.so.3	libxfixes3
libXdamage.so.1	libxdamage1
libXrandr.so.2	libxrandr2
libXrender.so.1	libxrender1
libXau.so.6	libxau6
libXdmcp.so.6	libxdmcp6
libxcb.so.1	libxcb1
libxcb-shm.so.0	libxcb1
libxcb-render.so.0	libxcb1
libxcb-xfixes.so.0	libxcb1
libXi.so.6	libxi6
libXcursor.so.1	libxcursor1
libXinerama.so.1	libxinerama1
libXv.so.1	libxv1
libfontconfig.so.1	libfontconfig1
libfreetype.so.6	libfreetype6
libfribidi.so.0	libfribidi0
libpixman-1.so.0	libpixman-1-0
libharfbuzz.so.0	libharfbuzz0b
libgraphite2.so.3	libgraphite2-3
libcairo.so.2	libcairo2
libpango-1.0.so.0	libpango-1.0-0
libpangocairo-1.0.so.0	libpangocairo-1.0-0
libpangoft2-1.0.so.0	libpangoft2-1.0-0
libpangoxft-1.0.so.0	libpangoxft-1.0-0
libgdk_pixbuf-2.0.so.0	libgdk-pixbuf-2.0-0
libgio-2.0.so.0	libglib2.0-0t64
libglib-2.0.so.0	libglib2.0-0t64
libgobject-2.0.so.0	libglib2.0-0t64
libgmodule-2.0.so.0	libglib2.0-0t64
libgthread-2.0.so.0	libglib2.0-0t64
libjson-glib-1.0.so.0	libjson-glib-1.0-0
libgtk-4.so.1	libgtk-4-1
libgtk-3.so.0	libgtk-3-0t64
libstdc++.so.6	libstdc++6
libgcc_s.so.1	libgcc-s1
libatomic.so.1	libatomic1
libmvec.so.1	libmvec1
libcsound64.so.6.0	libcsound64-6.0
libopenexr-3_2.so.31	libopenexr-3-2-31
libImath-3_2.so.29	libimath-3-2-29t64
libIex-3_2.so.31	libopenexr-3-2-31
libcdio.so.19	libcdio19t64
libcdio_paranoia.so.2	libcdio-paranoia2t64
libcdio_cdda.so.2	libcdio-cdda2t64
libdc1394.so.26	libdc1394-26
libraw1394.so.11	libraw1394-11t64
libswresample.so.5	libswresample5
libswscale.so.8	libswscale8
libavcodec.so.62	libavcodec62
libavformat.so.62	libavformat62
libavutil.so.60	libavutil60
libavfilter.so.11	libavfilter11
libavdevice.so.62	libavdevice62
libpostproc.so.58	libpostproc58
